Company,Title,Description,Costs,Currency,Duration,Language,Location,Link,Description,Recommendation
Raelize,TEEPwn: Breaking TEEs by Experience,"It's notoriously hard to secure a Trusted Execution Environment (TEE) due to the interaction between complex hardware and a large trusted code base (TCB). The security provided by TEEs has been broken on a wide variety of devices, including mobile phones, smart TVs and even vehicles. Publicly disclosed TEE vulnerabilities were often exploited directly from the less-trusted Rich Execution Environment (REE). Many of these vulnerabilities were speandcific for TEEs and required novel exploitation techniques.

The TEEPwn experience provides an offensive system-level perspective and dives into the darker corners of TEE Security. It is designed with a system-level approach, where you will experience powerful exploitation of TEE vulnerabilities. The TEEPwn experience is hands-on, gamified and driven by an exciting jeopardy-style Capture the Flag (CTF).

Your journey starts by achieving a comprehensive understanding of TEEs, where you will learn how hardware and software concur to enforce effective security boundaries. You will then use this understanding for identifying interesting vulnerabilities across the entire TEE attack surface. You will then be challenged along the path to exploit them in multiple scenarios. All vulnerabilities are identified and exploited on our emulated attack platform which implements an ARMv8 (64-bit) TEE based on ARM TrustZone.

You will take on different roles, as an attacker in control of:

- the REE, attempting to achieve privileged code execution in the TEE.
- the REE, trying to access assess protected by a Trusted Application (TA).
- a TA, aiming to escalate privileges to TEE OS.
- a TA, accessing the protected assets of other TAs.

TEEPwn will guide you into an unexpected range of attack vectors and TEE-specific exploitation techniques, which may be leveraged for novel and creative software exploits. refining your skills to a new level.",2420,EUR,4 days of 4 hours,,Virtual / Online,https://raelize.com/teepwn/,,
ringzer0,Embedded Automotive Security: A Hands-on Introduction,"This training is geared towards offensive security researchers who want to dip their toes into the field of automotive security. We will use developments boards to give the attendees a practical introduction to bus systems such as CAN, LIN and FlexRay and show them how modern ECUs are developed.

In contrast to other trainings, we will not look into infotainment units as we see them as too similar to other embededded and mobile systems. Rather we will concentrate on the specifics of automotive embedded systems. To help with this process we will show the attendees how to emulate systems to be faster in assessing them. After taking this training, the attendees will have developed a thorough understanding of the AUTOSAR architecture and development processes, be able to independently evaluate the security of ECUs and find vulnerabilities in them.",4000,USD,4 days,,Virtual,https://ringzer0.training/automotive-security.html,,
Riscure,Cyber Security Training,,,,,,,Link,,
Riscure,Automotive Security Architect (ASA),"We work closely with many large automotive players and we understand that security is an important topic in the automotive industry. Especially with the upcoming UN ECE regulations and the ISO/SAE 21434 standard, which defines that any E/E system with a possible impact on Safety, Finance, Operations, or Privacy should be considered cyber security relevant.

The Automotive Security Architect learning path bridges the gap between formalized safety frameworks such as ISO 26262, SAE J3061-20161, and the upcoming ISO/SAE 21434 and the best practices in security. The curriculum for this learning path is designed to accelerate the time to market of your product.

When you buy this course you have access for 1 year to all the materials and support.",900,EUR,14-hours ,,Virtual / Online,https://getquote.riscure.com/en/training/2353988/automotive-security-architect-asa,,
SAE International,Managing Cybersecurity Risks Using ISO/SAE DIS 21434,,,,,,,,,
SAE International,Introduction to Car Hacking with CANbus C1857,"Vehicle cybersecurity vulnerabilities could impact a vehicle's safe operation. Therefore, engineers should ensure that systems are designed free of unreasonable risks to motor vehicle safety, including those that may result due to existence of potential cybersecurity vulnerabilities. The automotive industry is making vehicle cybersecurity an organizational priority. Prioritizing vehicle cybersecurity also means learning about vehicle hacking techniques in order to ensure that systems will be reasonably safe under expected real-world conditions, including those that may arise due to potential vehicle cybersecurity vulnerabilities from hacking the CAN communications or OBD-II interface. The automotive cybersecurity environment is dynamic and is expected to change continually and, at times, rapidly. Developing a basic understanding of car hacking can provide a good foundation for developing approaches to vehicle cybersecurity.",1549,USD,2 days,,In-Site,https://www.sae.org/learn/content/c1857/,,
SANS,Security Training,,,,,,,Link,,
SANS,SEC560: Network Pen Testing and Ethical Hacking,"SEC560 prepares you to conduct successful penetration testing and ethical hacking projects. You will learn how to perform detailed reconnaissance, exploit target systems to gain access and measure real business risk, and scan target networks using best-of-breed tools in hands-on labs and exercises. You won't just learn run-of-the-mill options and configurations, you'll also learn the lesser-known but super-useful capabilities of the best pen test toolsets available today. The course concludes with an intensive, hands-on Capture-the-Flag exercise in which you will conduct a penetration test against a sample target organization and demonstrate the knowledge you have mastered.",7000,USD,6 days,,"Online, In-Person",https://www.sans.org/cyber-security-courses/network-penetration-testing-ethical-hacking/,,
SANS,"SEC660: Advanced Pen Testing, Exploit Writing, and Ethical Hacking ",See website for course description. ,7000,USD,6 days,,"Online, In-Person",https://www.sans.org/cyber-security-courses/advanced-penetration-testing-exploits-ethical-hacking,,
TONEX,Automotive Cybersecurity Training Course,"Participants will learn about methods and techniques regarding cybersecurity measures in the entire automotive system lifecycle and acquisition. Secure embedded systems in automotive applications include many procedures, methods and techniques to seamlessly integrate cybersecurity within automotive embedded system software.",,,3 days,,,https://www.tonex.com/training-courses/automotive-cybersecurity-training-course/,,
UL,Automotive Cybersecurity Training,,,,,,,https://www.ul.com/services/automotive-cybersecurity-training-and-education,,
VDI Wissensforum,Cyber Security in Fahrzeugen,,"1,490€",EUR,2 Days,,Wien / München,Link,,
Vector,Automotive Cybersecurity,,660+VAT,USD,,,,https://vector-academy.com/vi_training_automotive_cybersecurity_en.html,,
Vector,Automotive Cybersecurity - ISO 21434,,1000+VAT,EUR,2 Days,,,https://consulting.vector.com/int/en/trainings/security/,,
Vector Consulting,Automotive Security with ISO 21434,,"1,000€",EUR,2 Days,,Online / Stuttgart,Link,,
